CMDLINE python main.py
MEM 0.894531 1760682157.7757
MEM 21.230469 1760682157.9046
MEM 37.113281 1760682158.0432
MEM 49.722656 1760682158.1823
MEM 57.324219 1760682158.3071
MEM 62.152344 1760682158.4322
MEM 67.023438 1760682158.5561
MEM 69.929688 1760682158.6831
MEM 167.703125 1760682158.8096
CHLD 40864 48.726562 1760682158.8259
CHLD 40865 48.726562 1760682158.8261
MEM 168.167969 1760682158.9423
CHLD 40864 48.960938 1760682158.9550
CHLD 40865 48.957031 1760682158.9551
MEM 168.171875 1760682159.0690
CHLD 40864 48.960938 1760682159.0808
CHLD 40865 48.960938 1760682159.0808
MEM 168.171875 1760682159.1986
CHLD 40864 48.960938 1760682159.2111
CHLD 40865 48.960938 1760682159.2111
MEM 168.171875 1760682159.3232
CHLD 40864 48.960938 1760682159.3343
CHLD 40865 48.960938 1760682159.3344
MEM 168.179688 1760682159.4455
CHLD 40864 48.964844 1760682159.4565
CHLD 40865 48.964844 1760682159.4565
MEM 168.179688 1760682159.5698
CHLD 40864 48.964844 1760682159.5832
CHLD 40865 48.964844 1760682159.5833
MEM 168.179688 1760682159.6946
CHLD 40864 48.964844 1760682159.7052
CHLD 40865 48.964844 1760682159.7053
MEM 168.179688 1760682159.8183
CHLD 40864 48.964844 1760682159.8291
CHLD 40865 48.964844 1760682159.8292
MEM 168.179688 1760682159.9410
CHLD 40864 48.964844 1760682159.9521
CHLD 40865 48.964844 1760682159.9521
MEM 168.234375 1760682160.0674
CHLD 40864 48.992188 1760682160.0808
CHLD 40865 48.992188 1760682160.0809
MEM 168.234375 1760682160.1982
CHLD 40864 48.992188 1760682160.2139
CHLD 40865 48.992188 1760682160.2140
MEM 168.234375 1760682160.3250
CHLD 40864 48.992188 1760682160.3361
CHLD 40865 48.992188 1760682160.3361
MEM 168.234375 1760682160.4482
CHLD 40864 48.992188 1760682160.4595
CHLD 40865 48.992188 1760682160.4596
MEM 168.234375 1760682160.5738
CHLD 40864 48.992188 1760682160.5882
CHLD 40865 48.992188 1760682160.5882
MEM 168.234375 1760682160.7028
CHLD 40864 48.992188 1760682160.7184
CHLD 40865 48.992188 1760682160.7185
MEM 168.234375 1760682160.8344
CHLD 40864 48.992188 1760682160.8482
CHLD 40865 48.992188 1760682160.8483
MEM 168.234375 1760682160.9609
CHLD 40864 48.992188 1760682160.9731
CHLD 40865 48.992188 1760682160.9732
MEM 168.265625 1760682161.0891
CHLD 40864 49.007812 1760682161.1050
CHLD 40865 49.007812 1760682161.1051
MEM 168.265625 1760682161.2202
CHLD 40864 49.007812 1760682161.2337
CHLD 40865 49.007812 1760682161.2338
MEM 168.265625 1760682161.3492
CHLD 40864 49.007812 1760682161.3650
CHLD 40865 49.007812 1760682161.3650
MEM 168.296875 1760682161.4822
CHLD 40864 49.023438 1760682161.4983
CHLD 40865 49.023438 1760682161.4983
MEM 168.296875 1760682161.6139
CHLD 40864 49.023438 1760682161.6296
CHLD 40865 49.023438 1760682161.6296
MEM 168.296875 1760682161.7431
CHLD 40864 49.023438 1760682161.7562
CHLD 40865 49.023438 1760682161.7563
MEM 168.296875 1760682161.8796
CHLD 40864 49.023438 1760682161.8999
CHLD 40865 49.023438 1760682161.9000
MEM 168.296875 1760682162.0216
CHLD 40864 49.023438 1760682162.0419
CHLD 40865 49.023438 1760682162.0419
MEM 168.296875 1760682162.1569
CHLD 40864 49.023438 1760682162.1755
CHLD 40865 49.023438 1760682162.1758
MEM 168.296875 1760682162.2906
CHLD 40864 49.023438 1760682162.3054
CHLD 40865 49.023438 1760682162.3055
MEM 168.296875 1760682162.4277
CHLD 40864 49.023438 1760682162.4504
CHLD 40865 49.023438 1760682162.4504
MEM 168.296875 1760682162.5625
CHLD 40864 49.023438 1760682162.5744
CHLD 40865 49.023438 1760682162.5744
MEM 168.296875 1760682162.6870
CHLD 40864 49.023438 1760682162.6990
CHLD 40865 49.023438 1760682162.6991
MEM 168.296875 1760682162.8120
CHLD 40864 49.023438 1760682162.8238
CHLD 40865 49.023438 1760682162.8238
MEM 168.312500 1760682162.9355
CHLD 40864 49.023438 1760682162.9466
CHLD 40865 49.039062 1760682162.9467
MEM 168.328125 1760682163.0578
CHLD 40864 49.039062 1760682163.0690
